Timestamp,Response
12/16/2024, 11:08:56 AM,welcome
12/16/2024, 11:08:58 AM,welcome
12/16/2024, 11:09:04 AM,Yes
12/16/2024, 11:09:17 AM,Yes
12/16/2024, 11:09:19 AM,Yes
12/16/2024, 11:09:20 AM,Yes
12/16/2024, 11:09:37 AM,Maybe
12/16/2024, 11:09:54 AM,Yes
12/16/2024, 11:10:00 AM,You have 1 question left!
12/16/2024, 11:10:15 AM,No
12/16/2024, 11:10:17 AM,No
12/16/2024, 11:10:25 AM,No questions left
12/16/2024, 11:10:31 AM,Wrong answer for Lion!
12/16/2024, 11:10:36 AM,Next round
12/16/2024, 11:10:50 AM,Yes
12/16/2024, 11:10:54 AM,Yes
12/16/2024, 11:10:56 AM,Yes
12/16/2024, 11:11:15 AM,No
12/16/2024, 11:11:32 AM,Yes
12/16/2024, 11:11:46 AM,Maybe
12/16/2024, 11:11:55 AM,You have 1 question left!
12/16/2024, 11:12:19 AM,No
12/16/2024, 11:12:24 AM,You have no questions left!
12/16/2024, 11:12:31 AM,Wrong answer for Butterfly!
12/16/2024, 11:12:38 AM,Next round
12/16/2024, 11:12:50 AM,No
12/16/2024, 11:12:59 AM,No
12/16/2024, 11:13:12 AM,No
12/16/2024, 11:13:25 AM,No
12/16/2024, 11:13:48 AM,Yes
12/16/2024, 11:13:52 AM,You have 1 question left!
12/16/2024, 11:14:16 AM,Maybe
12/16/2024, 11:14:27 AM,You have no questions left!
12/16/2024, 11:14:33 AM,Wrong answer for Cow!
12/16/2024, 11:14:40 AM,Next round
12/16/2024, 11:14:53 AM,No
12/16/2024, 11:15:08 AM,No
12/16/2024, 11:15:30 AM,Yes
12/16/2024, 11:15:40 AM,Yes
12/16/2024, 11:15:41 AM,Yes
12/16/2024, 11:15:49 AM,You have 1 question left!
12/16/2024, 11:15:50 AM,You have 1 question left!
12/16/2024, 11:16:08 AM,Maybe
12/16/2024, 11:16:26 AM,Wrong answer for Frog!
12/16/2024, 11:16:34 AM,Next round
12/16/2024, 11:16:35 AM,Next round
12/16/2024, 11:16:49 AM,Yes
12/16/2024, 11:17:01 AM,No
12/16/2024, 11:17:28 AM,Maybe
12/16/2024, 11:17:43 AM,Yes
12/16/2024, 11:17:50 AM,You have 1 question left!
12/16/2024, 11:18:11 AM,Yes
12/16/2024, 11:18:12 AM,Yes
12/16/2024, 11:18:18 AM,Correct!
12/16/2024, 11:18:21 AM,Finished
